kota,waktu,suhu_c,kelembapan_persen,presipitasi_mm
Balige,2026-09-19T10:00,24.8,72,0.0
Balige,2026-09-19T11:00,25.3,72,0.0
Balige,2026-09-19T12:00,24.9,73,0.0
Balige,2026-09-19T13:00,24.9,72,0.1
Balige,2026-09-19T14:00,24.4,76,0.1
Balige,2026-09-19T15:00,25.7,70,0.1
Balige,2026-09-19T16:00,25.6,72,0.1
Balige,2026-09-19T17:00,25.0,75,0.0
Balige,2026-09-19T18:00,22.7,84,0.1
Balige,2026-09-19T19:00,22.4,83,0.1
Balige,2026-09-19T20:00,22.4,88,0.0
Balige,2026-09-19T21:00,22.5,88,0.0
Balige,2026-09-19T22:00,22.6,86,0.0
Balige,2026-09-19T23:00,22.3,87,0.0
Pematangsiantar,2026-09-17T00:00,23.1,93,0.0
Pematangsiantar,2026-09-17T01:00,22.9,97,0.0
Pematangsiantar,2026-09-17T02:00,22.6,99,0.2
Pematangsiantar,2026-09-17T03:00,22.6,99,0.2
Pematangsiantar,2026-09-17T04:00,22.6,98,0.0
Pematangsiantar,2026-09-17T05:00,22.2,98,0.0
Pematangsiantar,2026-09-17T06:00,22.0,97,0.1
Pematangsiantar,2026-09-17T07:00,23.0,94,0.0
Pematangsiantar,2026-09-17T08:00,25.3,85,0.0
Pematangsiantar,2026-09-17T09:00,26.6,78,0.0
Pematangsiantar,2026-09-17T10:00,27.2,77,0.4
Pematangsiantar,2026-09-17T11:00,26.6,81,3.4
Pematangsiantar,2026-09-17T12:00,28.1,75,0.4
Pematangsiantar,2026-09-17T13:00,27.8,77,0.2
Pematangsiantar,2026-09-17T14:00,26.4,87,1.0
Pematangsiantar,2026-09-17T15:00,26.0,91,1.1
Pematangsiantar,2026-09-17T16:00,24.3,96,3.6
Pematangsiantar,2026-09-17T17:00,24.8,95,0.9
Pematangsiantar,2026-09-17T18:00,24.9,95,0.2
Pematangsiantar,2026-09-17T19:00,24.5,97,0.1
Pematangsiantar,2026-09-17T20:00,24.2,96,0.5
Pematangsiantar,2026-09-17T21:00,23.9,96,0.5
Pematangsiantar,2026-09-17T22:00,23.5,96,0.0
Pematangsiantar,2026-09-17T23:00,23.3,96,0.0
Pematangsiantar,2026-09-18T00:00,22.9,97,0.0
Pematangsiantar,2026-09-18T01:00,22.5,98,0.0
Pematangsiantar,2026-09-18T02:00,22.5,96,0.0
Pematangsiantar,2026-09-18T03:00,22.4,96,0.0
Pematangsiantar,2026-09-18T04:00,22.2,96,0.0
Pematangsiantar,2026-09-18T05:00,22.0,96,0.0
Pematangsiantar,2026-09-18T06:00,22.0,95,0.0
Pematangsiantar,2026-09-18T07:00,23.0,93,0.0
Pematangsiantar,2026-09-18T08:00,24.7,89,0.0
Pematangsiantar,2026-09-18T09:00,26.0,83,0.0
Pematangsiantar,2026-09-18T10:00,27.0,78,0.1
Pematangsiantar,2026-09-18T11:00,28.0,73,0.1
Pematangsiantar,2026-09-18T12:00,28.6,70,0.1
Pematangsiantar,2026-09-18T13:00,28.6,69,0.2
Pematangsiantar,2026-09-18T14:00,27.3,79,1.1
Pematangsiantar,2026-09-18T15:00,25.3,92,2.4
Pematangsiantar,2026-09-18T16:00,25.6,91,0.6
Pematangsiantar,2026-09-18T17:00,24.3,93,3.6
Pematangsiantar,2026-09-18T18:00,24.2,95,0.5
Pematangsiantar,2026-09-18T19:00,23.5,96,1.6
Pematangsiantar,2026-09-18T20:00,22.6,97,5.6
Pematangsiantar,2026-09-18T21:00,23.0,97,0.8
Pematangsiantar,2026-09-18T22:00,22.9,98,0.2
Pematangsiantar,2026-09-18T23:00,22.9,97,0.0
Pematangsiantar,2026-09-19T00:00,22.8,97,0.0
Pematangsiantar,2026-09-19T01:00,22.9,96,0.0
Pematangsiantar,2026-09-19T02:00,23.0,94,0.0
Pematangsiantar,2026-09-19T03:00,23.1,92,0.0
Pematangsiantar,2026-09-19T04:00,22.8,92,0.0
Pematangsiantar,2026-09-19T05:00,22.7,91,0.0
Pematangsiantar,2026-09-19T06:00,22.4,94,0.0
Pematangsiantar,2026-09-19T07:00,22.8,94,0.0
Pematangsiantar,2026-09-19T08:00,24.0,91,0.0
Pematangsiantar,2026-09-19T09:00,25.1,89,0.0
Pematangsiantar,2026-09-19T10:00,26.3,83,0.0
Pematangsiantar,2026-09-19T11:00,26.8,80,0.0
Pematangsiantar,2026-09-19T12:00,27.3,80,0.3
Pematangsiantar,2026-09-19T13:00,27.4,81,0.4
Pematangsiantar,2026-09-19T14:00,27.7,81,0.5
Pematangsiantar,2026-09-19T15:00,27.9,79,0.3
Pematangsiantar,2026-09-19T16:00,27.9,79,0.2
Pematangsiantar,2026-09-19T17:00,25.6,89,1.2
Pematangsiantar,2026-09-19T18:00,25.1,95,0.5
Pematangsiantar,2026-09-19T19:00,24.1,97,1.6
Pematangsiantar,2026-09-19T20:00,23.9,97,1.2
Pematangsiantar,2026-09-19T21:00,23.9,97,1.2
Pematangsiantar,2026-09-19T22:00,23.7,96,0.2
Pematangsiantar,2026-09-19T23:00,23.5,96,0.2
Medan,2026-09-17T00:00,25.5,97,0.0
Medan,2026-09-17T01:00,25.3,95,0.0
Medan,2026-09-17T02:00,25.0,97,0.1
Medan,2026-09-17T03:00,24.9,97,0.2
Medan,2026-09-17T04:00,24.6,99,0.0
Medan,2026-09-17T05:00,24.6,98,0.0
Medan,2026-09-17T06:00,24.4,97,0.0
Medan,2026-09-17T07:00,24.6,95,0.0
Medan,2026-09-17T08:00,25.7,90,0.0
Medan,2026-09-17T09:00,26.7,87,0.1
Medan,2026-09-17T10:00,28.2,81,0.1
Medan,2026-09-17T11:00,29.6,74,0.0
Medan,2026-09-17T12:00,30.8,67,0.0
Medan,2026-09-17T13:00,31.7,63,0.0
Medan,2026-09-17T14:00,32.0,64,0.0
Medan,2026-09-17T15:00,28.2,81,3.7
Medan,2026-09-17T16:00,28.5,82,1.6
Medan,2026-09-17T17:00,28.7,79,1.2
Medan,2026-09-17T18:00,27.9,86,0.3
Medan,2026-09-17T19:00,25.2,97,4.9
Medan,2026-09-17T20:00,25.1,96,5.6
Medan,2026-09-17T21:00,25.1,98,1.0
Medan,2026-09-17T22:00,25.2,98,0.2
Medan,2026-09-17T23:00,25.1,99,0.0
Medan,2026-09-18T00:00,24.9,99,0.0
Medan,2026-09-18T01:00,24.8,99,0.0
Medan,2026-09-18T02:00,24.7,99,0.0
Medan,2026-09-18T03:00,24.5,98,0.0
Medan,2026-09-18T04:00,24.4,97,0.0
Medan,2026-09-18T05:00,24.2,97,0.0
Medan,2026-09-18T06:00,24.0,97,0.0
Medan,2026-09-18T07:00,24.3,96,0.0
Medan,2026-09-18T08:00,25.5,93,0.0
Medan,2026-09-18T09:00,27.6,82,0.0
Medan,2026-09-18T10:00,29.0,72,0.0
Medan,2026-09-18T11:00,30.1,67,0.0
Medan,2026-09-18T12:00,31.0,63,0.0
Medan,2026-09-18T13:00,31.6,62,0.0
Medan,2026-09-18T14:00,31.7,64,0.0
Medan,2026-09-18T15:00,27.6,82,2.7
Medan,2026-09-18T16:00,26.9,89,1.8
Medan,2026-09-18T17:00,26.9,88,0.6
Medan,2026-09-18T18:00,26.0,93,2.0
Medan,2026-09-18T19:00,25.5,95,0.3
Medan,2026-09-18T20:00,24.9,95,0.1
Medan,2026-09-18T21:00,24.8,96,0.0
Medan,2026-09-18T22:00,24.8,97,0.0
Medan,2026-09-18T23:00,24.7,99,0.0
Medan,2026-09-19T00:00,24.5,98,0.0
Medan,2026-09-19T01:00,24.3,99,0.0
Medan,2026-09-19T02:00,24.2,100,0.0
Medan,2026-09-19T03:00,24.1,99,0.0
Medan,2026-09-19T04:00,24.0,100,0.0
Medan,2026-09-19T05:00,23.9,100,0.0
Medan,2026-09-19T06:00,24.1,98,0.0
Medan,2026-09-19T07:00,24.5,95,0.0
Medan,2026-09-19T08:00,25.8,89,0.0
Medan,2026-09-19T09:00,26.9,85,0.0
Medan,2026-09-19T10:00,28.3,79,0.0
Medan,2026-09-19T11:00,28.7,78,0.0
Medan,2026-09-19T12:00,29.8,76,0.1
Medan,2026-09-19T13:00,30.5,74,0.3
Medan,2026-09-19T14:00,30.3,75,0.1
Medan,2026-09-19T15:00,30.8,73,0.2
Medan,2026-09-19T16:00,30.2,76,0.6
Medan,2026-09-19T17:00,25.8,93,8.7
Medan,2026-09-19T18:00,25.4,95,2.2
Medan,2026-09-19T19:00,24.5,97,4.2
Medan,2026-09-19T20:00,24.0,99,6.4
Medan,2026-09-19T21:00,24.4,98,1.6
Medan,2026-09-19T22:00,24.3,99,0.7
Medan,2026-09-19T23:00,24.2,99,0.1
